"DocCat","DocSoort","Pad","Filenaam","Referentie","Datum"
"BMN","Brief","BMN\2017\BMN-BerijdersOvereenkomstFordMondeo(4-1-2017).pdf","BMN-BerijdersOvereenkomstFordMondeo(4-1-2017)","Berijdersovereenkomst Mondeo SE","2017-01-04"
"BMN","Overzicht","BMN\2017\BMN-BonusAfspraak2017(25-5-2017).pdf","BMN-BonusAfspraak2017(25-5-2017)","Bonus doelstelling 2017","2017-05-25"
"BMN","Brief","BMN\2016\BMN-BonusDoc2016(06-2016).pdf","BMN-BonusDoc2016(06-2016)","Bonusdocument 2016","2016-06-01"
"BMN","Brief","BMN\2017\BMN-BonusDocument2016(Gerealiseerd).pdf","BMN-BonusDocument2016(Gerealiseerd)","Gerealiseerde bonus 2016","2017-03-01"
"BMN","Brief","BMN\2017\BMN-BrandstofPas(Mondeo)(18-3-17).pdf","BMN-BrandstofPas(Mondeo)(18-3-17)","Brandsofpas huur Mondeo","2017-02-10"
"Pensioen","Brief","Pensioen\2017\BMN-Pensioen(VerlagingPer(02-2017)).pdf","BMN-Pensioen(VerlagingPer(02-2017))","Geen verlaging Pensioen","2017-02-01"
"BMN","Brief","BMN\2012\BMN-SalarisVerhoging(23-1-2012)AJ.pdf","BMN-SalarisVerhoging(23-1-2012)AJ","Salarisverhoging","2012-01-23"
"Willy","Nostalgie","Willy\2015\DIV-NotesSinterklaasGedichten(12-2015)-Willy.pdf","DIV-NotesSinterklaasGedichten(12-2015)-Willy","Aantekeningen Sinterklaasgedicht","2015-12-01"
"Elektronica","Pakbon","Elektronica\2016\ELEK-Pakbon-Macrovision(OpenMV)(18-5-2016).pdf","ELEK-Pakbon-Macrovision(OpenMV)(18-5-2016)","OpenMV levering.","2016-05-18"
"Elektronica","Schema","Elektronica\2015\ELEK-RaspBerryPI-1(NASSwitch+RemoteControl)(2015).pdf","ELEK-RaspBerryPI-1(NASSwitch+RemoteControl)(2015)","Nas on/off vanaf Raspberry PI 1 via Pythonista","2015-05-01"
"Geert","Factuur","Geert\1991\FAK-Nowak-PostFiets(Tank)(2-11-1991).pdf","FAK-Nowak-PostFiets(Tank)(2-11-1991)","Nowak Postfiets (Tank)","1991-11-02"
"Verzekering","Overzicht","Verzekering\2016\FIN-(L30500215)(Ankondiging)(24-11-16).pdf","FIN-(L30500215)(Ankondiging)(24-11-16)","30500215 - Eindafrekening","2016-11-24"
"Verzekering","Brief","Verzekering\2017\FIN-(L30500215)(Uitbetaling)(16-03-2017).pdf","FIN-(L30500215)(Uitbetaling)(16-03-2017)","30500215 - Bevstiging uitbetaling levensverzekering","2017-03-16"
"Verzekering","Brief","Verzekering\2017\FIN-5150731-Resultaat+Berekening(2016)(03-2017).pdf","FIN-5150731-Resultaat+Berekening(2016)(03-2017)","5150731 - ASR - Waardeoverzicht spaarkasovereenkomst","2017-03-01"
"Verzekering","Overzicht","Verzekering\2017\FIN-Resultaat-5150731-(10-3-2017).pdf","FIN-Resultaat-5150731-(10-3-2017)","5150731 - Controleer waarde beleggingsverzekering","2017-03-10"
"Verzekering","Brief","Verzekering\2016\FIN-VanAXENTnaarArdanta(22-1-2016).pdf","FIN-VanAXENTnaarArdanta(22-1-2016)","van Axent naar Ardanta (ASR)","2016-10-22"
"Geert","Factuur","Geert\2016\GdH-FAK-MotorHurenMetFokke(18-8-2016).pdf","GdH-FAK-MotorHurenMetFokke(18-8-2016)","Motor huren voor tocht met Fokke","2016-08-18"
"Hypotheek","Overzicht","Hypotheek\2017\HYP-aflvrij(2990989)(18-5-17).pdf","HYP-aflvrij(2990989)(18-5-17)","Aflossingsvrij (2990989)","2017-05-18"
"Hypotheek","Overzicht","Hypotheek\2017\HYP-Overzicht(295505502)(1-5-2017).pdf","HYP-Overzicht(295505502)(1-5-2017)","2995505502 - Kleine spaarhypotheek","2017-05-18"
"Hypotheek","Overzicht","Hypotheek\2017\HYP-OverzichtHoofdSchuld(18-5-2017).pdf","HYP-OverzichtHoofdSchuld(18-5-2017)","295505501 - Hoofdschuld","2017-05-18"
"Belastingen","Factuur","Belastingen\2016\LG-Aanslag-WetterskipFryslan2016(1-3-2016).pdf","LG-Aanslag-WetterskipFryslan2016(1-3-2016)","Wetterskip Fryslan Aanslag Waterschapbelastingen 2016","2016-03-31"
"LG73","Factuur","LG73\2016\LG-FAK-Bloembergen(Schutting)(07-2016).pdf","LG-FAK-Bloembergen(Schutting)(07-2016)","Bloembergen - Schutting","2016-07-23"
"LG73","Factuur","LG73\2017\LG-FAK-Dennis(Oostkant)(5-5-2017).pdf","LG-FAK-Dennis(Oostkant)(5-5-2017)","Oostkant voegen ","2017-04-05"
"LG73","Factuur","LG73\2017\LG-FAK-Hoekstra-Credit(13-6-17).pdf","LG-FAK-Hoekstra-Credit(13-6-17)","Hoekstra Suwald Creditnota Remeha Ketel","2017-06-13"
"LG73","Factuur","LG73\2016\LG-HoekstraSuwald(OnderhoudCV)(15-12-2016).pdf","LG-HoekstraSuwald(OnderhoudCV)(15-12-2016)","Hoekstra Suwald - Remeha ketel (Zie Credit)","2016-12-16"
"LG73","Overzicht","LG73\2016\LG-OfferteRamen(DennisvanderLaan(12-12-2016).pdf","LG-OfferteRamen(DennisvanderLaan(12-12-2016)","Dennis van derr Laan - Prijsopgave ramen woonkamer","2016-12-12"
"LG73","Overzicht","LG73\2016\LG-PlanningOnderhoud2017.pdf","LG-PlanningOnderhoud2017","Dennis van der Laan - Waslijst door Willy","2016-09-12"
"LG73","Schema","LG73\2015\LG-Schuur(ElektriciteitSchema)(07-2015).pdf","LG-Schuur(ElektriciteitSchema)(07-2015)","Schuur - elektriciteitschema","2015-07-01"
"Belastingen","Overzicht","Belastingen\2016\LG-WOZWaarde(2016).pdf","LG-WOZWaarde(2016)","WOZ waarde 167K","2016-02-29"
"Belastingen","Overzicht","Belastingen\2017\LG-WOZWaarde(2017).pdf","LG-WOZWaarde(2017)","WOZ Waarde beschikking 167K","2017-02-28"
"Pensioen","Brief","Pensioen\2017\PENS-PensioenFondsVerhuizing(06-2017).pdf","PENS-PensioenFondsVerhuizing(06-2017)","verhuizing stichting CRH Pensioenfonds","2017-06-01"
"Pensioen","Overzicht","Pensioen\2016\PENS-UPO-CRHPensioenFonds(09-2016).pdf","PENS-UPO-CRHPensioenFonds(09-2016)","CRH Pensioenfonds UPO Pensioen overzicht","2016-09-01"
"Verzekering","Overzicht","Verzekering\2017\VER0Belegginsverzekering(30250983)(Jaaropgave)(3-5-2017).pdf","VER0Belegginsverzekering(30250983)(Jaaropgave)(3-5-2017)","30250983 - Nationale Nederlanden - Jaaropgave beleggingsverzekering","2017-05-03"
"Verzekering","Brief","Verzekering\2016\VERZ-Ardanta(CONTACT)(06-2016).pdf","VERZ-Ardanta(CONTACT)(06-2016)","Ardanta - Wie verzorgt uitvaart ?","2016-06-01"
"Verzekering","Brief","Verzekering\2016\VERZ-Ardanta(Indexering2017).pdf","VERZ-Ardanta(Indexering2017)","Ardanta - indexering uitvaartverzekering","2016-12-01"
"Verzekering","Brief","Verzekering\2017\VERZ-ARDANTA(WinstDeling)(06-2017).pdf","VERZ-ARDANTA(WinstDeling)(06-2017)","Ardanta - Winstdeling - verzekering Willy","2017-06-01"
"Pensioen","Overzicht","Pensioen\2016\VERZ-PENS-UPO(WIA)(11-2016).pdf","VERZ-PENS-UPO(WIA)(11-2016)","Aevitae - WIA UPO","2016-11-01"
"Verzekering","Brief","Verzekering\2017\VERZ-Rechtsbijstand(14-5-2017).pdf","VERZ-Rechtsbijstand(14-5-2017)","122955756 - FBTO - Rechtsbijstand","2017-04-14"
"Gezondheid","Artikel","Gezondheid\2017\GEZ-Margriet-Cholesterol(19-3-2017).pdf","GEZ-Margriet-Cholesterol(19-3-2017)","Cholestorol","2017-03-01"
"Belastingen","Overzicht","Belastingen\2016\Definitieveaanslag2015.pdf","Definitieveaanslag2015","Inkomstenbelasting Geert - Definiteve aanslag 2015","2016-05-28"
"LG73","Gebruiksaanwijzing","LG73\2016\LG73-Kettingzaag(CentralPark)(GY9303)(08-2016).pdf","LG73-Kettingzaag(CentralPark)(GY9303)(08-2016)","Oregon - Kettingzaag ","2016-08-01"
"LG73","Factuur","LG73\2016\FAK-Sony(KDL32WD757)(23-7-2016).pdf","FAK-Sony(KDL32WD757)(23-7-2016)","Sony(KDL32WD757)","2016-07-23"
"Verzekering","Overzicht","Verzekering\2016\FIN-Beleggingsverzekering(30250983)(23-5-2016).pdf","FIN-Beleggingsverzekering(30250983)(23-5-2016)","30250983 - Lijfrenteverzekering per 31-12-2015","2016-05-23"
"BMN","Overzicht","BMN\2016\CRH-BonusDoelstellingen2015DEF.pdf","CRH-BonusDoelstellingen2015DEF","Bonus 2015 - Gerealiseerd","2016-03-01"
"Auto","Factuur","Auto\2016\Auto-(90-PV-DJ)(LekkeBand)(26-01-2016).pdf","Auto-(90-PV-DJ)(LekkeBand)(26-01-2016)","90-PV-DJ - de Jager - Lekke band WHJ","2016-01-26"
"Hypotheek","Overzicht","Hypotheek\2016\BRF_HYP-Jaaropgave2015(128080)(13193209).pdf","BRF_HYP-Jaaropgave2015(128080)(13193209)","128080 - Centraal beheer - Hoofdsom Jaaropgave","2016-02-01"
"Sparen","Overzicht","Sparen\2016\BRF-ASR(5150731(Rendement2015)(16-3-2016).pdf","BRF-ASR(5150731(Rendement2015)(16-3-2016)","5150731 - ASR - ABC Spaarplan","2016-03-16"
"BMN","Brief","BMN\2016\BRF-CRH-NaamwijzigingNaarBMN(02-2016).pdf","BRF-CRH-NaamwijzigingNaarBMN(02-2016)","Naamswijziging naar BMN Bouwmaterialen","2016-01-22"
"Pensioen","Brief","Pensioen\2016\BRF-CRH-Pensien2016(Lager).pdf","BRF-CRH-Pensien2016(Lager)","CRH Pensioenfonds verlaging","2016-02-01"
"Geert","Factuur","Geert\2016\BRF-FryskeGea(Lidmaatschap2016).pdf","BRF-FryskeGea(Lidmaatschap2016)","Fryske Gea - Lidmaatschap","2016-02-01"
"Geert","Brief","Geert\2016\BRF-Graf-Wickel(30-1-2016).pdf","BRF-Graf-Wickel(30-1-2016)","Wijckel - wijziging tarief grafrechten","2016-01-25"
"Hypotheek","Overzicht","Hypotheek\2016\BRF-HYP-Jaaropgave2015(129030)(121495000).pdf","BRF-HYP-Jaaropgave2015(129030)(121495000)","129030 - Centraal beheer - Jaaropgave 2015 - Kleine Hypotheek","2016-02-01"
"Hypotheek","Overzicht","Hypotheek\2016\BRF-Hyp-JaarOverziht2015(WoonFonds)(2004729).pdf","BRF-Hyp-JaarOverziht2015(WoonFonds)(2004729)","2004729 - Jaaroverzicht 2015 - 70K","2016-02-01"
"Verzekering","Brief","Verzekering\2015\BRF-VERZ-Ardanta-Indexering 2016(12-2015).pdf","BRF-VERZ-Ardanta-Indexering 2016(12-2015)","Ardanta - verhoging door indexering","2015-12-01"
"Pensioen","Overzicht","Pensioen\2015\CRH-PensioenOverzicht2015(09-2015).pdf","CRH-PensioenOverzicht2015(09-2015)","CRH -Pensienfonds - UPO per 1-1-2015","2015-09-01"
"Pensioen","Overzicht","Pensioen\2015\CRH-Pensioen-UniformPensioenOverzicht(2015.pdf","CRH-Pensioen-UniformPensioenOverzicht(2015","Aevitae - WIA verzekering - UPO ","2015-12-01"
"Geert","Nostalgie","Geert\2016\DIV-(1-5-2016)CadeauFokke.pdf","DIV-(1-5-2016)CadeauFokke","Verjaardagscadeau Fokke","2016-05-01"
"Geert","Nostalgie","Geert\2016\DIV(1-5-2016)CadeauWilly(Flamman).pdf","DIV(1-5-2016)CadeauWilly(Flamman)","Verjaardagcadeau Willy - Flamman","2016-05-01"
"Geert","Factuur","Geert\2016\DIV-NotaMotorad(Motorlaarzen)(12-3-2016).pdf","DIV-NotaMotorad(Motorlaarzen)(12-3-2016)","Motorado 0 Motorlaarzen","2016-03-12"
"Auto","Factuur","Auto\2016\FAK-(90-PV-DJ)(24-1-2016)(Banden).pdf","FAK-(90-PV-DJ)(24-1-2016)(Banden)","90-PV-DJ - Nieuwe banden","2016-01-20"
"Auto","Factuur","Auto\2015\FAK-Auto-Onderhoud(29-12-2016).pdf","FAK-Auto-Onderhoud(29-12-2016)","90-PV-DJ - Remmen","2015-12-29"
"LG73","Factuur","LG73\2015\FAK-LG73(Boels)(SloopSchuur)(05-2015).pdf","FAK-LG73(Boels)(SloopSchuur)(05-2015)","Boels - Huren breekhamer voor sloop oude schuur","2015-05-06"
"LG73","Factuur","LG73\2015\FAK-LG73-(Container-vanWieren(4-5-2015).pdf","FAK-LG73-(Container-vanWieren(4-5-2015)","van Wieren - container voor afvoer oude schuur + boom","2015-05-04"
"LG73","Factuur","LG73\2015\FAK-LG73-Bloembergen-TuinWest(28-10-15).pdf","FAK-LG73-Bloembergen-TuinWest(28-10-15)","Bloembergen - Damwand + terras","2015-10-28"
"Hypotheek","Overzicht","Hypotheek\2016\FIN(7762620020(FinOverzicht2015)(02-2016).pdf","FIN(7762620020(FinOverzicht2015)(02-2016)","776262002 - FBTO - Jaaropgave","2016-02-16"
"Verzekering","Overzicht","Verzekering\2016\FIN(OpgaveLevensverzekering2015)(30500215).pdf","FIN(OpgaveLevensverzekering2015)(30500215)","30500215 - Nationale Nederlanden - Jaaroverzicht.","2016-02-06"
"Verzekering","Brief","Verzekering\2016\FIN-30500215-EindeLooptijd(Beleggingsverdeling)(28-4-2016).pdf","FIN-30500215-EindeLooptijd(Beleggingsverdeling)(28-4-2016)","Natonale Nederlanden - Waarschuwing rendement","2016-04-28"
"Verzekering","Overzicht","Verzekering\2016\FIN-FiscaleOpgaveASR(D5150731)(02-2016).pdf","FIN-FiscaleOpgaveASR(D5150731)(02-2016)","5150731 - ASR - Jaaropgave 2015","2016-02-01"
"Verzekering","Overzicht","Verzekering\2016\FIN-NationaleNL(30250983)(11-5-2016).pdf","FIN-NationaleNL(30250983)(11-5-2016)","30250983 - Nationale Nederlanden - Jaaropgave 2015","2016-05-11"
"Geert","Nostalgie","Geert\2015\GDH-Sinterklaas2015(KadoVanFokke).pdf","GDH-Sinterklaas2015(KadoVanFokke)","Cadeau Fokke - Steamcode","2015-12-05"
"Hypotheek","Overzicht","Hypotheek\2016\HYP(776262001)FinOverzicht2015(02-2016).pdf","HYP(776262001)FinOverzicht2015(02-2016)","776262001 - FBTO - Overzicht waarde per 1-1-2015","2016-02-16"
"Hypotheek","Overzicht","Hypotheek\2016\HYP-CentraalBeheer( C8129030)(jaarOverzicht2016).pdf","HYP-CentraalBeheer( C8129030)(jaarOverzicht2016)","129030 - Centraal Beheer Achmea - Overzicht 21K Hypotheek","2016-04-01"
"Hypotheek","Overzicht","Hypotheek\2016\HYP-CentraalBeheer(CB128080)JaarOverzicht(2016).pdf","HYP-CentraalBeheer(CB128080)JaarOverzicht(2016)","128080 - Centraal Beheer Achmea - 70K ","2016-04-01"
"Hypotheek","Overzicht","Hypotheek\2016\HYP-Woonfonds70K(WF2004729)(26-4-2016).pdf","HYP-Woonfonds70K(WF2004729)(26-4-2016)","2004729 - Woonfonds - 70K extra hyp","2016-04-26"
"Hardware","Pakbon","Hardware\2015\PAKBON-Surface4(18-11-15).pdf","PAKBON-Surface4(18-11-15)","Surface4 - Paradigit","2015-11-18"
"Verzekering","Factuur","Verzekering\2016\VERZ-FBTO-RechtsbijstandVerlenging(15-4-2016).pdf","VERZ-FBTO-RechtsbijstandVerlenging(15-4-2016)","FBTO rechtsbijstand - verlening 2016/2017","2016-04-15"
"Verzekering","Factuur","Verzekering\2015\VERZ-Unive(Polis)(AlleVerzekeringen)(2016).pdf","VERZ-Unive(Polis)(AlleVerzekeringen)(2016)","Unive - Alle verzekeringen","2015-12-05"
"Nuts","Internet/Telefoon","Nuts\2016\Nuts-KPN-(0511-432029)NaarZiggo(11-5-2016).pdf","Nuts-KPN-(0511-432029)NaarZiggo(11-5-2016)","KPN - Bevestiging overstap telefonie naar Ziggo","2016-05-09"
"Elektronica","Schema","Elektronica\1980\ELEK-BuizenTester(ReverseEngineering)(80erJaren).pdf","ELEK-BuizenTester(ReverseEngineering)(80erJaren)","Buizentester Lafayette (TE-50) (1964) - Schema","1980-01-01"
"Geert","Nostalgie","Geert\1980\ELEK-Dump-Langelille.pdf","ELEK-Dump-Langelille","Advertentie Dump Langelille","1980-01-01"
"Software","Schema","Software\1980\ELEK-Fortran(Diagram).pdf","ELEK-Fortran(Diagram)","Fortran - MTS (t.b.v. ponskaarten ?)","1980-01-01"
"Elektronica","Schema","Elektronica\1980\ELEK-HP31E(reparatieVoedingsstrookje).pdf","ELEK-HP31E(reparatieVoedingsstrookje)","HP31E - Reparatie voedingsstrookje","1980-01-01"
"Elektronica","Schema","Elektronica\1980\ELEK-NetTrafo(TR521)-Beelduigang(TR421).pdf","ELEK-NetTrafo(TR521)-Beelduigang(TR421)","TR521 - Nettrafo","1980-01-01"
"Elektronica","Schema","Elektronica\1980\ELEK-OCF80(U-I)meting(80erJaren).pdf","ELEK-OCF80(U-I)meting(80erJaren)","PCF80 - (U-I) meting","1980-01-01"
"Elektronica","Schema","Elektronica\1980\ELEK-SchakelTrap(Display).pdf","ELEK-SchakelTrap(Display)","Schakeltrap Display","1980-01-01"
"Elektronica","Schema","Elektronica\1978\ELEK-Schema(LM309K(4-10-1978).pdf","ELEK-Schema(LM309K(4-10-1978)","LM309K schn)ma (MTS Leeuwarden)","1978-10-04"
"Elektronica","Schema","Elektronica\1980\ELEK-Schema(Versterker)8oer.pdf","ELEK-Schema(Versterker)8oer","Versterker","1980-01-01"
"Elektronica","Schema","Elektronica\1980\ELEK-SG(BuizenSchema)(80erJaren)(GitaarVersterker).pdf","ELEK-SG(BuizenSchema)(80erJaren)(GitaarVersterker)","Gitaarversterker schema (Reverse Engineering)","1980-01-01"
"Elektronica","Schema","Elektronica\1980\ELEK-VersterkerMetScoopBeelden(22-10-1980).pdf","ELEK-VersterkerMetScoopBeelden(22-10-1980)","EL90 versterker met scoopbeelden","1980-10-22"
"Elektronica","Schema","Elektronica\1980\ELEK-Tandy-TDA2020.pdf","ELEK-Tandy-TDA2020","TDA2020 - Versterker IC","1980-01-01"
"Elektronica","Schema","Elektronica\1980\ELEK-VersterkerSchemas(80erJaren).pdf","ELEK-VersterkerSchemas(80erJaren)","Versterker - met bouwaantekeningen","1980-01-01"
"Hardware","Factuur","Hardware\1992\FAK(Alltec)(MB486-33)(18-05-1992).pdf","FAK(Alltec)(MB486-33)(18-05-1992)","Alltec - 80486-33Mhz - HD - 4Mb Memory","1992-05-18"
"Hardware","Factuur","Hardware\1992\FAK-Alltec(ComputerParts)(21-09-1992).pdf","FAK-Alltec(ComputerParts)(21-09-1992)","Alltec - HW uitbreiding 80486 - 33","1992-09-21"
"Software","Factuur","Software\1994\FAK-BorlandC++4(24-02-1994).pdf","FAK-BorlandC++4(24-02-1994)","BorlandC++ 4.0 DOS/ WIN 3.50","1994-02-24"
"Elektronica","Factuur","Elektronica\1993\FAK-ComputerCollectief(C++DatabasesFev+disk)(10-03-1993).pdf","FAK-ComputerCollectief(C++DatabasesFev+disk)(10-03-1993)","Computer Collectief C++ Database Development","1993-03-10"
"Software","Factuur","Software\1993\FAK-ComputerCollectief(C-databaseToolchest)(25-01-93).pdf","FAK-ComputerCollectief(C-databaseToolchest)(25-01-93)","C/Database Toolchest BTree / ISAM","1993-01-25"
"Software","Factuur","Software\1992\FAK-ComputerCollectief(FalconCampaignDisk)(24-11-1992).pdf","FAK-ComputerCollectief(FalconCampaignDisk)(24-11-1992)","Computer Collectief Falcon campaign disk 1","1992-11-24"
"IT-Alg","Factuur","IT-Alg\1993\FAK-ComputerCollectief(InsideWindowsNT)(24-02-1993).pdf","FAK-ComputerCollectief(InsideWindowsNT)(24-02-1993)","Computer Collectief - Inside Windows NT","1993-02-24"
"Software","Factuur","Software\1992\FAK-ComputerCollectief(UpgradeBorlandC++)(27-11-1992).pdf","FAK-ComputerCollectief(UpgradeBorlandC++)(27-11-1992)","Compoter Collectief Update BorlandC++ 3.1 met Application frameworks","1992-11-27"
"Software","Factuur","Software\1993\FAK-ComputerCollectiefParadoxForWindows)(7-4-1993).pdf","FAK-ComputerCollectiefParadoxForWindows)(7-4-1993)","Computer Collectief - Paradox for Windows","1993-04-07"
"LG73","Gebruiksaanwijzing","LG73\2017\LG73-GEB-SygonixDimmer.pdf","LG73-GEB-SygonixDimmer","Sygonix - Dimmer Halogeen woonkamer","2017-08-17"
"LG73","Factuur","LG73\1997\FAK-Conrad(BabyfoonFokke)(30-01-1997).pdf","FAK-Conrad(BabyfoonFokke)(30-01-1997)","Conrad - Babyfoon Fokke","1997-01-30"
"Hardware","Factuur","Hardware\1991\FAK-DECSYS(.S-VGAKaart)(16-12-1991).pdf","FAK-DECSYS(.S-VGAKaart)(16-12-1991)","Decsys - S-VGA kaart 1 Mb Vesa","1991-12-16"
"Hardware","Factuur","Hardware\1993\FAK-Epsilon(EizoF340i)(11-05-1993).pdf","FAK-Epsilon(EizoF340i)(11-05-1993)","Epsilon - Eizo F340I","1993-05-11"
"Geert","Factuur","Geert\1996\FAK-Eringa(Rotel(RA960BX)(21-11-1996).pdf","FAK-Eringa(Rotel(RA960BX)(21-11-1996)","Eringa - Rotel RA960 BX","1996-11-21"
"Geert","Factuur","Geert\1991\FAK-Eringa(Rotel-RCD-855)(16-11-1991).pdf","FAK-Eringa(Rotel-RCD-855)(16-11-1991)","Eringa - Rotel RCD-855 - CD speler","1991-11-16"
"Geert","Factuur","Geert\1999\FAK-EringaOnderhoudRotel(29-9-1999.pdf","FAK-EringaOnderhoudRotel(29-9-1999","Eringa - RA960 - BX Onderhoud","1999-09-18"
"LG73","Factuur","LG73\2016\FAK-FS38-Grastrimmer(STIHL)(04-06-2016).pdf","FAK-FS38-Grastrimmer(STIHL)(04-06-2016)","Hooghiemstra - Stihl FS38 Grastrimmer","2016-06-04"
"LG73","Factuur","LG73\1991\FAK-HuurBestelBus(Stinzenflora)(LG73)(23-2-1991).pdf","FAK-HuurBestelBus(Stinzenflora)(LG73)(23-2-1991)","Autolok - Huur verhuisbus","1991-02-23"
"Geert","Factuur","Geert\2016\FAK-iPhone5S-vanOorspronkelijkeEigenaar.pdf","FAK-iPhone5S-vanOorspronkelijkeEigenaar","iPhone 5S - Aanschafnota eerste eigenaar","2016-01-18"
"LG73","Factuur","LG73\2016\FAK-LG73-(DennisvanderLaan)KozijnStudeerkamer(27-9-2016).pdf","FAK-LG73-(DennisvanderLaan)KozijnStudeerkamer(27-9-2016)","Dennis van der Laan - Kozijn studeerkamer vervangen","2016-09-27"
"LG73","Factuur","LG73\2015\FAK-LG73-Tuin(West)(Beplanting)(28-11-15).pdf","FAK-LG73-Tuin(West)(Beplanting)(28-11-15)","Bloembergen - Westkant beplanten","2015-11-28"
"Software","Factuur","Software\1992\FAK-LogicSoft(BorlandC++3.0)(10-03-1992).pdf","FAK-LogicSoft(BorlandC++3.0)(10-03-1992)","LogicSoft - Borland C++ 3.0 + Appl framework","1992-03-10"
"Software","Factuur","Software\1992\FAK-LogicSoft(ObjectVision)(9-1-1992).pdf","FAK-LogicSoft(ObjectVision)(9-1-1992)","Logic Soft - ObjectVision","1992-01-09"
"Hardware","Factuur","Hardware\1992\FAK-MeekIT(PC-Onderdelen)(31-08-1992).pdf","FAK-MeekIT(PC-Onderdelen)(31-08-1992)","MeekIT - PC Onderdelen","1992-08-31"
"Software","Factuur","Software\1993\FAK-Microsoft(DOS6NL35Up)(04051993).pdf","FAK-Microsoft(DOS6NL35Up)(04051993)","Microsoft - Dos6NL35UP","1993-05-04"
